3,19,7
5,25,26
17,21,12
22,5,17
4,11,11
6,26,19
9,16,4
25,30,3
17,28,21
10,22,4
21,22,24
18,25,17
11,18,22
17,10,23
23,10,21
17,23,19
28,12,25
17,6,30
9,11,29
21,17,17
29,28,24
24,22,8
19,6,13
21,1,10
27,23,4
9,29,11
28,24,7
21,8,14
18,11,14
1,27,11
22,4,29
17,5,14
10,24,6
5,24,24
5,24,29
17,14,28
15,19,15
2,5,23
12,27,5
25,27,1
7,25,12
9,30,18
6,24,18
29,20,22
3,25,5
15,26,22
10,8,17
19,3,13
22,18,6
9,10,9
2,10,3
29,9,8
15,30,25
19,20,11
28,2,8
13,21,8
8,9,24
19,13,16
19,3,16
7,3,26
9,2,9
19,14,14
9,11,15
24,9,23
30,29,3
8,18,5
27,2,10
5,22,14
10,19,21
22,27,14
8,25,9
10,29,20
8,5,11
19,17,1
14,20,7
28,9,20
2,5,1
5,1,29
25,14,23
13,3,17
10,22,8
22,24,19
21,4,9
14,15,15
20,13,11
15,16,29
4,5,23
13,1,16
17,24,13
5,22,22
27,5,11
5,20,18
18,4,6
30,12,27
12,28,21
27,7,19
23,1,19
6,27,19
4,24,27
4,21,23
